date,val
2022-01-26,53
2022-01-30,53
2022-02-02,53
2022-02-04,53
2022-02-11,54
2022-02-13,53
2022-02-17,53
2022-02-21,53
2022-02-24,54
2022-03-01,54
2022-03-05,54
2022-03-08,54
2022-03-11,54
2022-03-22,54
2022-03-25,54
2022-04-05,54
2022-04-08,55
2022-04-11,55
2022-04-17,54
2022-04-19,54
2022-04-29,54
2022-05-02,54
2022-05-04,54
2022-05-06,54
2022-05-11,55
2022-05-14,54
2022-05-18,54
2022-05-21,54
2022-05-26,54
2022-05-28,54
2022-06-03,54
2022-06-05,54
2022-06-08,54
2022-06-14,54
2022-06-17,54
2022-06-21,54
2022-07-05,54
2022-08-05,54
2022-08-12,54
2022-08-13,54
2022-08-15,54
2022-08-16,53
2022-08-17,53
2022-08-18,53
2022-08-19,53
2022-08-21,53
2022-08-22,53
2022-08-23,52
2022-08-24,52
2022-08-25,52
2022-08-27,52
2022-08-28,52
2022-08-29,52
2022-08-30,52
2022-09-01,52
2022-09-04,52
2022-09-08,53
2022-09-11,53
2022-09-19,53
2022-09-20,53
2022-09-23,53
2022-10-07,53
2022-11-01,53
2022-11-07,53
2022-11-11,53
2022-11-17,53
2022-11-23,53
2022-12-07,53
2022-12-15,53
2023-01-04,53
2023-01-10,53
2023-01-24,53
2023-01-26,53
2023-01-30,53
2023-02-02,52
2023-02-19,52
2023-02-23,52
2023-02-28,52
2023-03-02,52
2023-03-14,52
2023-03-28,52
2023-03-30,52
2023-04-01,52
2023-04-03,52
2023-04-06,52
2023-04-07,52
2023-04-14,52
2023-04-15,52
2023-04-20,52
2023-04-24,52
2023-04-26,52
2023-04-29,52
2023-05-04,52
2023-05-06,52
2023-05-08,52
2023-05-09,52
2023-05-23,52
2023-06-12,52
2023-06-14,52
2023-06-26,52
2023-06-28,52
2023-07-01,52
2023-07-05,52
2023-07-07,52
2023-07-10,52
2023-07-12,52
2023-07-15,52
2023-07-25,52
2023-07-27,52
2023-08-01,52
2023-08-04,52
2023-08-09,52
2023-08-14,52
2023-08-21,52
2023-08-22,52
2023-09-03,52
2023-09-08,52
2023-09-10,52
2023-10-03,52
2023-10-10,52
2023-11-10,52
2023-11-11,51
2023-11-14,51
2023-11-15,51
2023-11-17,51
2023-11-25,50
2023-12-01,50
2023-12-11,50
2023-12-17,50
2023-12-23,50
2023-12-28,49
2024-01-01,49
2024-01-15,49
2024-01-19,49
2024-01-23,48
2024-01-24,48
2024-01-29,48
2024-01-31,48
2024-02-06,48
2024-02-13,48
2024-02-21,48
2024-02-27,48
2024-03-10,48
2024-03-25,48
2024-03-27,49
2024-03-29,49
2024-04-11,49
2024-04-13,49
2024-04-17,49
2024-04-22,49
2024-04-25,49
2024-04-29,49
2024-05-02,49
2024-05-07,49
2024-05-09,49
2024-05-11,50
2024-05-20,50
2024-05-22,50
2024-06-03,50
2024-06-09,50
2024-06-12,50
2024-06-25,50
2024-06-27,50
2024-07-01,50
2024-07-03,50
2024-07-09,50
2024-07-13,50
2024-07-27,50
2024-07-31,50
2024-08-01,50
2024-08-04,50
2024-08-21,50
2024-08-26,50
2024-09-04,50
2024-09-21,50
2024-09-25,50
